"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 26 11:22:36 CEST 2023","Tue Sep 26 11:22:48 CEST 2023","12131","","RegistrationPageTests","","RegistrationPageTests","checkRegistrationShortLogin","Registration with used short password","Check visibility error massage with used short password length"
"passed","Tue Sep 26 11:22:24 CEST 2023","Tue Sep 26 11:22:28 CEST 2023","3870","","HeaderStellarBurgersTests","","HeaderStellarBurgersTests","feedOrdersClick","Check transition through Feed orders","Checking transition used button Feed orders"
"passed","Tue Sep 26 11:23:11 CEST 2023","Tue Sep 26 11:23:17 CEST 2023","6060","","SurfProfilePageTests","","SurfProfilePageTests","SwitchFromProfileToConstructorPageWithLogoTest","Check transition to Constructor page used logo","Checking transition to Constructor page by click Logo"
"passed","Tue Sep 26 11:23:34 CEST 2023","Tue Sep 26 11:23:39 CEST 2023","5052","","SwitchToLoginFormTests","","SwitchToLoginFormTests","SwitchToLoginFormTest[3]","Check transfer to the Login page","Switching to the Login page from 4 places"
"passed","Tue Sep 26 11:22:48 CEST 2023","Tue Sep 26 11:22:54 CEST 2023","5739","","RegistrationPageTests","","RegistrationPageTests","checkRegistration","Registration ","Check registration with long password length"
"passed","Tue Sep 26 11:23:39 CEST 2023","Tue Sep 26 11:23:44 CEST 2023","5167","","TabsConstructorTests","","TabsConstructorTests","BunTabClick","Transition to the bun tab","Checking tab attribute changes and scroll movement"
"passed","Tue Sep 26 11:23:05 CEST 2023","Tue Sep 26 11:23:11 CEST 2023","5760","","SurfProfilePageTests","","SurfProfilePageTests","SwitchToProfileTest","Check transition to Profile page","Checking transition to Profile by click Personal Account button"
"passed","Tue Sep 26 11:23:17 CEST 2023","Tue Sep 26 11:23:24 CEST 2023","6226","","SwitchToLoginFormTests","","SwitchToLoginFormTests","SwitchToLoginFormTest[0]","Check transfer to the Login page","Switching to the Login page from 4 places"
"passed","Tue Sep 26 11:22:32 CEST 2023","Tue Sep 26 11:22:36 CEST 2023","3654","","HeaderStellarBurgersTests","","HeaderStellarBurgersTests","logoStellarBurgerClick","Check transition through logo","Checking transition used logo"
"passed","Tue Sep 26 11:23:24 CEST 2023","Tue Sep 26 11:23:29 CEST 2023","5878","","SwitchToLoginFormTests","","SwitchToLoginFormTests","SwitchToLoginFormTest[1]","Check transfer to the Login page","Switching to the Login page from 4 places"
"passed","Tue Sep 26 11:23:00 CEST 2023","Tue Sep 26 11:23:05 CEST 2023","5400","","SurfProfilePageTests","","SurfProfilePageTests","SwitchOffProfileTest","Check account logout","Checking account logout used Exit button"
"passed","Tue Sep 26 11:23:44 CEST 2023","Tue Sep 26 11:23:49 CEST 2023","5019","","TabsConstructorTests","","TabsConstructorTests","FillingTabClick","Transition to the fillings tab","Checking tab attribute changes and scroll movement"
"passed","Tue Sep 26 11:23:49 CEST 2023","Tue Sep 26 11:23:53 CEST 2023","4327","","TabsConstructorTests","","TabsConstructorTests","SauceTabClick","Transition to the sauce tab","Checking tab attribute changes and scroll movement"
"passed","Tue Sep 26 11:23:29 CEST 2023","Tue Sep 26 11:23:34 CEST 2023","4122","","SwitchToLoginFormTests","","SwitchToLoginFormTests","SwitchToLoginFormTest[2]","Check transfer to the Login page","Switching to the Login page from 4 places"
"passed","Tue Sep 26 11:22:13 CEST 2023","Tue Sep 26 11:22:24 CEST 2023","11633","","HeaderStellarBurgersTests","","HeaderStellarBurgersTests","headerBurgerConstructorClick","Check transition through Constructor button","Checking transition used button Constructor"
"passed","Tue Sep 26 11:22:28 CEST 2023","Tue Sep 26 11:22:32 CEST 2023","3990","","HeaderStellarBurgersTests","","HeaderStellarBurgersTests","personalAccountClick","Check transition through Personal account","Checking transition used button Personal account"
"passed","Tue Sep 26 11:22:54 CEST 2023","Tue Sep 26 11:23:00 CEST 2023","6305","","SurfProfilePageTests","","SurfProfilePageTests","SwitchFromProfileToConstructorPageTest","Check transition to Constructor page","Checking transition to Constructor page by click Constructor button"
